"","camis","dba","boro","building","street","zipcode","phone","x","address"
"42",41629685,"JAMBA JUICE","QUEENS",0,"JFK INTERNATIONAL AIRPORT",11430,2022861788,3,"0,JFK INTERNATIONAL AIRPORT,NY"
"43",50038237,"SAMESA/ED&BEV'S","BROOKLYN",899,"BERGEN ST",11238,2024876080,1,"899,BERGEN ST,NY"
"44",50038186,"SWAN DIVE PIG BEACH","BROOKLYN",452,"UNION ST",11231,2027319731,5,"452,UNION ST,NY"
"45",41314327,"WEATHER UP","BROOKLYN",589,"VANDERBILT AVENUE",11238,2029073372,18,"589,VANDERBILT AVENUE,NY"
"46",50006149,"SUBWAY","MANHATTAN",508,"COLUMBUS AVE",10024,2032127942,13,"508,COLUMBUS AVE,NY"
"47",41712926,"BEVERLY'S","MANHATTAN",21,"ESSEX STREET",10002,2033055634,19,"21,ESSEX STREET,NY"
"48",50032972,"BACCARAT HOTEL & RESIDENCES NEW YORK","MANHATTAN",20,"W 53RD ST",10019,2034227700,1,"20,W 53RD ST,NY"
"49",50037647,"G&J'S PIZZERIA","MANHATTAN",1797,"1ST AVE",10128,2036107366,4,"1797,1ST AVE,NY"
"50",50043730,"PIZZA BAR","MANHATTAN",151,"W 34TH ST",10001,2036563661,1,"151,W 34TH ST,NY"
"51",50014878,"DUNKIN' DONUTS, BASKIN ROBBINS","BRONX",321,"E KINGSBRIDGE RD",10458,2039196337,7,"321,E KINGSBRIDGE RD,NY"
"52",50004910,"DUNKIN' DONUTS","QUEENS",9502,"37TH AVE",11372,2039439240,5,"9502,37TH AVE,NY"
"53",41700297,"JULIANA'S PIZZA","BROOKLYN",19,"OLD FULTON STREET",11201,2039661083,8,"19,OLD FULTON STREET,NY"
"54",41690725,"BAR SUZETTE CREPERIE","MANHATTAN",425,"WEST   15 STREET",10011,2062250663,15,"425,WEST   15 STREET,NY"
"55",50038058,"BAR SUZETTE","MANHATTAN",230,"PARK AVE",10169,2062250663,1,"230,PARK AVE,NY"
"56",50012008,"Jill Lindsey","BROOKLYN",370,"MYRTLE AVE",11205,2062408953,4,"370,MYRTLE AVE,NY"
"57",40636316,"STARBUCKS","MANHATTAN",55,"BROAD STREET",10004,2064027025,9,"55,BROAD STREET,NY"
"58",50043362,"Eat Morris","BROOKLYN",145,"BROOKLYN AVE",11213,2072723346,1,"145,BROOKLYN AVE,NY"
"59",50042295,"TAQUERIA DIANA","MANHATTAN",601,"6TH AVE",10011,2096624273,1,"601,6TH AVE,NY"
"60",41018536,"THE SHOREHAM HOTEL","MANHATTAN",33,"WEST   55 STREET",10019,2122011108,33,"33,WEST   55 STREET,NY"
"61",50014229,"AINSWORTH MIDTOWN","MANHATTAN",45,"EAST   33 STREET",10016,2122011228,10,"45,EAST   33 STREET,NY"
"62",41363953,"GRAMERCY TERRACE (GRAMERCY PARK HOTEL)","MANHATTAN",2,"LEXINGTON AVENUE",10010,2122012171,19,"2,LEXINGTON AVENUE,NY"
"63",50016388,"FOUNDRY KITCHEN & BAR","MANHATTAN",270,"W 43RD ST",10036,2122012766,13,"270,W 43RD ST,NY"
"64",41620314,"STAR'S CAFE (WESTIN HOTEL)","MANHATTAN",270,"WEST   43 STREET",10036,2122012766,17,"270,WEST   43 STREET,NY"
"65",41379121,"EDISON BALLROOM","MANHATTAN",240,"WEST   47 STREET",10036,2122017650,13,"240,WEST   47 STREET,NY"
"66",50007580,"JIMMY","MANHATTAN",27,"GRAND ST",10013,2122019118,14,"27,GRAND ST,NY"
"67",50006240,"DAVID BURKE KITCHEN","MANHATTAN",27,"GRAND ST",10013,2122019119,2,"27,GRAND ST,NY"
"68",50004334,"CHOP'T","MANHATTAN",1376,"3RD AVE",10075,2122030032,5,"1376,3RD AVE,NY"
"69",41490493,"LE PAIN QUOTIDIEN","MANHATTAN",1309,"LEXINGTON AVENUE",10128,2122030802,8,"1309,LEXINGTON AVENUE,NY"
"70",40577007,"ACME BAR & GRILL","MANHATTAN",9,"GREAT JONES STREET",10012,2122032121,24,"9,GREAT JONES STREET,NY"
"71",41492204,"CORCHO WINE ROOM","MANHATTAN",227,"DYCKMAN STREET",10034,2122033371,30,"227,DYCKMAN STREET,NY"
"72",50011368,"Burger Heights","MANHATTAN",177,"WADSWORTH AVE",10033,2122035613,7,"177,WADSWORTH AVE,NY"
"73",50014981,"WRAPIDO","MANHATTAN",673,"9TH AVE",10036,2122036161,9,"673,9TH AVE,NY"
"74",41698063,"L&W OYSTER CO.","MANHATTAN",254,"5 AVENUE",10001,2122037772,22,"254,5 AVENUE,NY"
"75",50015854,"MOMOFUKU KO","MANHATTAN",8,"EXTRA PL",10003,2122038095,6,"8,EXTRA PL,NY"
"76",41643558,"BETONY","MANHATTAN",41,"WEST   57 STREET",10019,2122038636,10,"41,WEST   57 STREET,NY"
"77",50043722,"TERRI","MANHATTAN",685,"3RD AVE",10017,2122039132,1,"685,3RD AVE,NY"
"78",50036225,"O YA","MANHATTAN",124,"E 28TH ST",10016,2122040200,1,"124,E 28TH ST,NY"
"79",50035892,"CHARLIE PALMER AT THE KNICK (4th Floor)","MANHATTAN",1466,"BROADWAY",10036,2122044983,2,"1466,BROADWAY,NY"
"80",50036220,"ROOF AT PARK SOUTH","MANHATTAN",124,"E 28TH ST",10016,2122045222,1,"124,E 28TH ST,NY"
"81",50015348,"LITTLE PARK","MANHATTAN",85,"W BROADWAY",10007,2122045570,5,"85,W BROADWAY,NY"
"82",50040854,"THE PAUL","MANHATTAN",32,"W 29TH ST",10001,2122045760,10,"32,W 29TH ST,NY"
"83",50014694,"GRK","MANHATTAN",451,"LEXINGTON AVE",10017,2122048598,12,"451,LEXINGTON AVE,NY"
"84",41483315,"MANHATTAN WEST","MANHATTAN",25,"EAST   78 STREET",10075,2122050100,8,"25,EAST   78 STREET,NY"
"85",41616574,"THE TIPPLER","MANHATTAN",75,"9 AVENUE",10011,2122060000,28,"75,9 AVENUE,NY"
"86",41381373,"WXOU RADIO","MANHATTAN",558,"HUDSON STREET",10014,2122060381,23,"558,HUDSON STREET,NY"
"87",50010422,"WOOD AND ALES","MANHATTAN",234,"W 14TH ST",10011,2122060430,18,"234,W 14TH ST,NY"
"88",41080745,"METROPOLITAN ROOM","MANHATTAN",34,"WEST   22 STREET",10010,2122060440,29,"34,WEST   22 STREET,NY"
"89",41704540,"MANHATTAN'S PARADISE PIZZA, INC","MANHATTAN",12,"WEST   18 STREET",10011,2122060500,19,"12,WEST   18 STREET,NY"
"90",41279957,"LELABAR","MANHATTAN",422,"HUDSON STREET",10014,2122060594,12,"422,HUDSON STREET,NY"
"91",41283743,"LOURO","MANHATTAN",142,"WEST   10 STREET",10014,2122060606,35,"142,WEST   10 STREET,NY"
"92",41345732,"JOE: THE ART OF COFFEE","MANHATTAN",405,"WEST   23 STREET",10011,2122060669,10,"405,WEST   23 STREET,NY"
"93",41556263,"HUDSON BAGELS","MANHATTAN",502,"HUDSON STREET",10014,2122060720,16,"502,HUDSON STREET,NY"
"94",41709162,"FAIRFIELD INN CHELSEA","MANHATTAN",116,"WEST   28 STREET",10001,2122060998,7,"116,WEST   28 STREET,NY"
"95",50005675,"PIZZA 23","MANHATTAN",268,"W 23RD ST",10011,2122060999,24,"268,W 23RD ST,NY"
"96",41660386,"NO. 8","MANHATTAN",357,"W 16TH ST",10011,2122061096,28,"357,W 16TH ST,NY"
"97",40400155,"BUS STOP CAFE","MANHATTAN",597,"HUDSON STREET",10014,2122061100,8,"597,HUDSON STREET,NY"
"98",50033513,"MIRAGE KITCHEN","MANHATTAN",100,"7TH AVE S",10014,2122061213,3,"100,7TH AVE S,NY"
"99",50033074,"MIRAGE KITCHEN","MANHATTAN",455,"PARK AVE S",10016,2122061213,3,"455,PARK AVE S,NY"
"100",40969077,"BOSTON MARKET","MANHATTAN",273,"WEST   23 STREET",10011,2122061221,16,"273,WEST   23 STREET,NY"
"101",50017906,"HEE KOREAN BBQ GRILL","MANHATTAN",793,"6TH AVE",10001,2122061224,15,"793,6TH AVE,NY"
"102",50038049,"CAFFE BENE","MANHATTAN",300,"W 17TH ST",10011,2122061333,5,"300,W 17TH ST,NY"
"103",50006752,"DOPPIO","MANHATTAN",581,"HUDSON ST",10014,2122061444,23,"581,HUDSON ST,NY"
"104",50002939,"SUBWAY","MANHATTAN",170,"7 AVENUE SOUTH",10014,2122061570,11,"170,7 AVENUE SOUTH,NY"
"105",50017494,"HEERMANCE ON GANSEVOORT","MANHATTAN",52,"GANSEVOORT ST",10014,2122061726,5,"52,GANSEVOORT ST,NY"
"106",41332375,"GROM","MANHATTAN",233,"BLEECKER STREET",10014,2122061738,15,"233,BLEECKER STREET,NY"
"107",50034210,"STREETBIRD","MANHATTAN",2149,"FREDERICK DOUGLASS BOULEVARD",10026,2122062557,2,"2149,FREDERICK DOUGLASS BOULEVARD,NY"
"108",41594624,"SAN MARINO RISTORANTE","MANHATTAN",66,"CHARLTON STREET",10014,2122063766,14,"66,CHARLTON STREET,NY"
"109",41084776,"CHIPOTLE MEXICAN GRILL","MANHATTAN",680,"6 AVENUE",10010,2122063781,21,"680,6 AVENUE,NY"
"110",50000532,"BUTTERFIELD CAFE","MANHATTAN",770,"BROADWAY",10003,2122064488,6,"770,BROADWAY,NY"
"111",50001451,"BUBBY'S HIGHLINE","MANHATTAN",71,"GANSEVOORT ST",10014,2122066200,25,"71,GANSEVOORT ST,NY"
"112",40617736,"BOTTINO","MANHATTAN",248,"10 AVENUE",10001,2122066766,35,"248,10 AVENUE,NY"
"113",41269825,"EL QUINTO PINO","MANHATTAN",401,"WEST   24 STREET",10011,2122066900,17,"401,WEST   24 STREET,NY"
"114",41704068,"HANJAN","MANHATTAN",36,"WEST   26 STREET",10010,2122067226,52,"36,WEST   26 STREET,NY"
"115",41574209,"VICTORY GARDEN","MANHATTAN",31,"CARMINE STREET",10014,2122067273,6,"31,CARMINE STREET,NY"
"116",41465581,"MOLE","MANHATTAN",57,"JANE STREET",10014,2122067577,31,"57,JANE STREET,NY"
"117",40576260,"HECTOR'S CAFE & DINER","MANHATTAN",44,"LITTLE WEST   12 STREET",10014,2122067592,29,"44,LITTLE WEST   12 STREET,NY"
"118",41084833,"LEDERHOSEN RESTAURANT","MANHATTAN",39,"GROVE STREET",10014,2122067691,20,"39,GROVE STREET,NY"
"119",50038925,"CRUMBS BAKE SHOP","MANHATTAN",124,"UNIVERSITY PL",10003,2122068011,10,"124,UNIVERSITY PL,NY"
"120",50045140,"AUNTIE GUAN'S KITCHEN 108","MANHATTAN",108,"W 14TH ST",10011,2122068388,1,"108,W 14TH ST,NY"
"121",41330867,"POPEYES LOUISIANA KITCHEN","MANHATTAN",47,"WEST   14 STREET",10011,2122068405,19,"47,WEST   14 STREET,NY"
"122",41711478,"SWEET CORNER","MANHATTAN",535,"HUDSON STREET",10014,2122068500,13,"535,HUDSON STREET,NY"
"123",41301130,"TAURO RESTAURANT","MANHATTAN",284,"HUDSON STREET",10013,2122068530,40,"284,HUDSON STREET,NY"
"124",40677036,"LE ZIE TRATTORIA","MANHATTAN",172,"7 AVENUE",10011,2122068686,40,"172,7 AVENUE,NY"
"125",50001262,"BRYANT PARK GRILL","MANHATTAN",25,"WEST 40TH STREET",10018,2122068805,23,"25,WEST 40TH STREET,NY"
"126",50014836,"EL COCOTERO","MANHATTAN",228,"W 18TH ST",10011,2122068903,15,"228,W 18TH ST,NY"
"127",40545071,"CITY MARKET CAFE","MANHATTAN",178,"5 AVENUE",10010,2122068922,39,"178,5 AVENUE,NY"
"128",40996223,"THE FOUR FACED LIAR","MANHATTAN",165,"WEST    4 STREET",10014,2122068959,18,"165,WEST    4 STREET,NY"
"129",41573408,"LAUT","MANHATTAN",15,"EAST   17 STREET",10003,2122068989,49,"15,EAST   17 STREET,NY"
"130",41477202,"CLAY","MANHATTAN",25,"WEST   14 STREET",10011,2122069200,18,"25,WEST   14 STREET,NY"
"131",50004978,"INJERA RESTAURANT","MANHATTAN",11,"ABINGDON SQ",10014,2122069330,17,"11,ABINGDON SQ,NY"
"132",40721121,"GREENWICH VILLAGE BISTRO","MANHATTAN",13,"CARMINE STREET",10014,2122069777,54,"13,CARMINE STREET,NY"
"133",40668120,"MCDONALD'S","MANHATTAN",208,"VARICK STREET",10014,2122069991,19,"208,VARICK STREET,NY"
"134",50007440,"ARMANI RESTAURANT","MANHATTAN",717,"5TH AVE",10022,2122071902,8,"717,5TH AVE,NY"
"135",50009430,"TSUSHIMA","MANHATTAN",210,"E 44TH ST",10017,2122071938,20,"210,E 44TH ST,NY"
"136",50000064,"PANAME","MANHATTAN",1068,"2ND AVE",10022,2122073737,13,"1068,2ND AVE,NY"
"137",41248228,"SUBWAY","MANHATTAN",1171,"2 AVENUE",10065,2122073771,11,"1171,2 AVENUE,NY"
"138",41635844,"MIDTOWN 1015","MANHATTAN",1015,"2 AVENUE",10022,2122073777,37,"1015,2 AVENUE,NY"
"139",41497254,"D NAPOLI PIZZA","MANHATTAN",906,"3 AVENUE",10022,2122073848,13,"906,3 AVENUE,NY"
"140",41374355,"ELITE FOOD BAR","MANHATTAN",325,"EAST   48 STREET",10017,2122074000,16,"325,EAST   48 STREET,NY"
"141",40925558,"PRET A MANGER","MANHATTAN",400,"PARK AVENUE",10022,2122074101,7,"400,PARK AVENUE,NY"
"142",41103814,"FIG & OLIVE","MANHATTAN",808,"LEXINGTON AVENUE",10065,2122074555,13,"808,LEXINGTON AVENUE,NY"
"143",41665894,"ESSEN","MANHATTAN",515,"MADISON AVENUE",10022,2122074566,51,"515,MADISON AVENUE,NY"
"144",41719056,"CHINA MOON","MANHATTAN",7,"EAST 47 STREET",10017,2122074787,18,"7,EAST 47 STREET,NY"
"145",50043153,"SANT AMBROEUS CAFE AT SOTHEBY'S","MANHATTAN",1334,"YORK AVE",10021,2122076680,1,"1334,YORK AVE,NY"
"146",41640818,"RED OLIVE","MANHATTAN",660,"LEXINGTON AVENUE",10022,2122078014,26,"660,LEXINGTON AVENUE,NY"
"147",40977865,"BOBBY VAN'S STEAKHOUSE","MANHATTAN",131,"EAST   54 STREET",10022,2122078050,40,"131,EAST   54 STREET,NY"
"148",50009767,"A PLUS THAI PLACE","MANHATTAN",1007,"2ND AVE",10022,2122078080,15,"1007,2ND AVE,NY"
"149",41515691,"ANDRE'S HUNGARIAN STRUDELS & PASTRIES","MANHATTAN",1049,"1 AVENUE",10022,2122078117,7,"1049,1 AVENUE,NY"
"150",40393044,"SCALINATELLA RESTAURANT","MANHATTAN",201,"EAST   61 STREET",10065,2122078280,29,"201,EAST   61 STREET,NY"
"151",50044433,"OMAR'S MEDITERRANEAN CUISINE","MANHATTAN",154,"E 55TH ST",10022,2122078302,1,"154,E 55TH ST,NY"
"152",41580027,"OMAR'S KITCHEN & BAKERY","MANHATTAN",154,"EAST   55 STREET",10022,2122078302,16,"154,EAST   55 STREET,NY"
"153",41427945,"EL PORRON","MANHATTAN",1123,"1 AVENUE",10065,2122078349,26,"1123,1 AVENUE,NY"
"154",41583458,"SPRINKLES CUPCAKES","MANHATTAN",780,"LEXINGTON AVENUE",10065,2122078375,10,"780,LEXINGTON AVENUE,NY"
"155",41626438,"HONKY TONK TAVERN","MANHATTAN",1154,"1 AVENUE",10065,2122078550,30,"1154,1 AVENUE,NY"
"156",50015767,"THE POLO BAR","MANHATTAN",1,"E 55TH ST",10022,2122078562,5,"1,E 55TH ST,NY"
"157",40947344,"GOURMET 53","MANHATTAN",875,"3 AVENUE",10022,2122078888,15,"875,3 AVENUE,NY"
"158",50002282,"SUBWAY","MANHATTAN",949,"FIRST AVE",10022,2122078958,9,"949,FIRST AVE,NY"
"159",41594825,"WRAPIDO","MANHATTAN",104,"8 AVENUE",10011,2122087800,37,"104,8 AVENUE,NY"
"160",41597250,"CAFE TALLULAH","MANHATTAN",240,"COLUMBUS AVENUE",10023,2122091055,23,"240,COLUMBUS AVENUE,NY"
"161",41229106,"BLIND PIG","MANHATTAN",233,"EAST   14 STREET",10003,2122091573,25,"233,EAST   14 STREET,NY"
"162",50011013,"MORGENSTERN'S FINEST ICE CREAM","MANHATTAN",215,"BOWERY",10002,2122096784,8,"215,BOWERY,NY"
"163",41131732,"PACHA","MANHATTAN",618,"WEST   46 STREET",10036,2122097500,19,"618,WEST   46 STREET,NY"
"164",50000441,"RA @ Y & R","MANHATTAN",3,"COLUMBUS CIRCLE",10019,2122103018,4,"3,COLUMBUS CIRCLE,NY"
"165",50000440,"CAFE 285","MANHATTAN",3,"COLUMBUS CIRCLE",10019,2122105285,4,"3,COLUMBUS CIRCLE,NY"
"166",41441945,"BLACK SHACK","MANHATTAN",320,"LEXINGTON AVENUE",10016,2122130042,4,"320,LEXINGTON AVENUE,NY"
"167",41711610,"THE COFFEE BEAN & TEA LEAF","MANHATTAN",606,"2 AVENUE",10016,2122130050,2,"606,2 AVENUE,NY"
"168",40399834,"HAN GAWI","MANHATTAN",12,"EAST   32 STREET",10016,2122130077,42,"12,EAST   32 STREET,NY"
"169",41428049,"THE ARCHIVE","MANHATTAN",12,"EAST   36 STREET",10016,2122130093,19,"12,EAST   36 STREET,NY"
"170",50002769,"CHOZA TAQUERIA","MANHATTAN",66,"MADISON AVENUE",10016,2122130708,24,"66,MADISON AVENUE,NY"
"171",40948362,"FRANCHIA","MANHATTAN",12,"PARK AVENUE",10016,2122131001,16,"12,PARK AVENUE,NY"
"172",40394176,"MOONSTRUCK EAST","MANHATTAN",449,"THIRD AVENUE",10016,2122131100,24,"449,THIRD AVENUE,NY"
"173",41715805,"RED MANGO","MANHATTAN",776,"AVENUE OF THE AMERICAS",10001,2122131344,9,"776,AVENUE OF THE AMERICAS,NY"
"174",41679004,"MIDDLE BRANCH","MANHATTAN",154,"EAST   33 STREET",10016,2122131350,18,"154,EAST   33 STREET,NY"
"175",40579869,"LUCKY DELI","MANHATTAN",12,"EAST   37 STREET",10016,2122131370,32,"12,EAST   37 STREET,NY"
"176",41577790,"CHICKEN DELICATESSEN","MANHATTAN",43,"EAST   28 STREET",10016,2122131729,38,"43,EAST   28 STREET,NY"
"177",41685529,"16 HANDLES","MANHATTAN",428,"3 AVENUE",10016,2122131755,14,"428,3 AVENUE,NY"
"178",50005710,"soju haus","MANHATTAN",315,"5TH AVE",10016,2122132177,15,"315,5TH AVE,NY"
"179",50032986,"LYRIC DINER","MANHATTAN",283,"3RD AVE",10010,2122132222,14,"283,3RD AVE,NY"
"180",41622818,"SUBWAY","MANHATTAN",48991,"3 AVENUE",10016,2122132228,7,"48991,3 AVENUE,NY"
"181",50010822,"HUNAN HOUSE","MANHATTAN",40,"W 56TH ST",10019,2122132299,14,"40,W 56TH ST,NY"
"182",41365624,"876 MARKET DELI","MANHATTAN",876,"6 AVENUE",10001,2122132431,22,"876,6 AVENUE,NY"
"183",50007383,"CAFE CHINA","MANHATTAN",13,"E 37TH ST",10016,2122132810,25,"13,E 37TH ST,NY"
"184",41163829,"ISLAND GLEN USA","MANHATTAN",51,"WEST   29 STREET",10001,2122132838,20,"51,WEST   29 STREET,NY"
"185",41567481,"STEEL PAN","MANHATTAN",447,"3 AVENUE",10016,2122133223,29,"447,3 AVENUE,NY"
"186",41661174,"V {iv} Thai Restaurant & Bar","MANHATTAN",138,"EAST   34 STREET",10016,2122133317,41,"138,EAST   34 STREET,NY"
"187",40398600,"BLOCKHEAD'S BURRITOS","MANHATTAN",499,"3 AVENUE",10016,2122133332,10,"499,3 AVENUE,NY"
"188",41710775,"GILA'S NOSH","MANHATTAN",221,"EAST   23 STREET",10010,2122133334,21,"221,EAST   23 STREET,NY"
"189",41279924,"LIMON","MANHATTAN",238,"EAST   24 STREET",10010,2122133343,26,"238,EAST   24 STREET,NY"
"190",41277666,"JAMBA JUICE","MANHATTAN",321,"5 AVENUE",10016,2122133369,22,"321,5 AVENUE,NY"
"191",50005940,"MAMA GHANOUSH","MANHATTAN",442,"3RD AVE",10016,2122133442,8,"442,3RD AVE,NY"
"192",41509250,"MASON JAR","MANHATTAN",45,"EAST   30 STREET",10016,2122133587,39,"45,EAST   30 STREET,NY"
"193",41316336,"TAAN","MANHATTAN",17,"EAST   31 STREET",10016,2122133773,30,"17,EAST   31 STREET,NY"
"194",41269704,"MCDONALD'S","MANHATTAN",280,"MADISON AVENUE",10016,2122133810,23,"280,MADISON AVENUE,NY"
"195",40842393,"PETER DILLON'S BAR","MANHATTAN",130,"EAST   40 STREET",10016,2122133998,25,"130,EAST   40 STREET,NY"
"196",50015263,"LA POSADA MEXICAN FOOD","MANHATTAN",364,"3RD AVE",10016,2122134379,8,"364,3RD AVE,NY"
"197",50004815,"SHAKA BURRITO","MANHATTAN",210,"EAST   23 STREET",10010,2122134612,18,"210,EAST   23 STREET,NY"
"198",41418978,"BAGEL EXPRESS III","MANHATTAN",340,"3 AVENUE",10010,2122134700,46,"340,3 AVENUE,NY"
"199",41372047,"THE HOG PIT NEW YORK CITY","MANHATTAN",37,"WEST   26 STREET",10010,2122134871,24,"37,WEST   26 STREET,NY"
"200",41109543,"WALDY'S WOOD FIRED PIZZA & PENNE","MANHATTAN",800,"6 AVENUE",10001,2122135042,6,"800,6 AVENUE,NY"
"201",41196542,"STARBUCKS","MANHATTAN",373,"5 AVENUE",10016,2122135363,9,"373,5 AVENUE,NY"
"202",50013002,"JOEY PEPPERONI","MANHATTAN",381,"BROADWAY",10013,2122135558,8,"381,BROADWAY,NY"
"203",50013000,"JOEY PEPPERONI","MANHATTAN",493,"2ND AVE",10016,2122135558,9,"493,2ND AVE,NY"
"204",41131042,"COPPER CHIMNEY","MANHATTAN",126,"EAST   28 STREET",10016,2122135742,32,"126,EAST   28 STREET,NY"
"205",50009047,"IZAKAYA NOMAD","MANHATTAN",13,"W 26TH ST",10010,2122136258,11,"13,W 26TH ST,NY"
"206",41047105,"LIBRETTO'S PIZZERIA","MANHATTAN",546,"3 AVENUE",10016,2122136445,21,"546,3 AVENUE,NY"
"207",41642874,"STARBUCKS","MANHATTAN",1140,"BROADWAY",10001,2122136519,5,"1140,BROADWAY,NY"
"208",41703786,"ESSEN","MANHATTAN",60,"MADISON AVENUE",10010,2122136969,27,"60,MADISON AVENUE,NY"
